drug_id,prot_id,affinity
411816,Q13535,6.296708621881338
14758,Q9Y233,6.892790030352131
125360,P42336,8.698970004336019
28619,P50406,8.193820026016112
50523349,P00915,6.7281583934635005
251925,P29371,7.292429823902063
50173712,P31645,8.744727494896694
50493521,Q7Z1V1,7.301029995663981
50068514,P19327,6.58838029403677
324620,O60674,9.522878745280336
50494018,P00915,5.653647025549361
50491279,Q14145,4.0
82256,P32745,6.752026733638194
50301500,P28335,6.832682665251824
50368914,P30543,4.2604276555499085
25915,O43570,6.166215625343521
50220548,P08172,6.199970640755866
24773,Q9C098,4.999956572723137
50507480,Q9Y5K2,9.886056647693165
50491809,P41145,6.142064735280571
50416836,P30542,6.840011949618013
50258406,P31645,7.494850021680094
50398825,P36544,7.4089353929735005
50107130,P10415,5.619788758288394
50377500,P29274,8.55284196865778
21540,P17931,3.6575773191777934
50193430,P50406,6.384049948343598
241439,P03951,8.774690718274137
50161957,P17612,4.999956572723137
50506211,P33534,9.69897000433602
50262930,P28335,5.454321850207974
50389560,P35372,6.401209493236885
50088917,P00742,9.045757490560677
50004917,P14416,7.259637310505756
6568,P06241,8.309803919971486
204866,P29274,6.341035157335565
50138003,P97266,6.721246399047171
50226209,P00328,3.8499992450778633
50216001,P08254,5.346594509335499
50321191,P10275,5.881404634776239
256757,P56817,7.552841968657781
50202989,P29274,9.221848749616356
50094370,O43570,8.455931955649724
50349857,O43570,8.148741651280925
326634,O43614,6.630784142589857
85619,P0DMS8,9.318758762624412
50380144,P00918,10.397940008672036
50427418,P21554,5.698752911363789
50001500,P46616,5.920818753952375
50163042,P50406,7.066512712151295
50456853,P35348,6.823908740944319
50342519,P29274,7.769551078621726
125457,P42336,8.698970004336019
84966,P53341,4.91721462968355
50097283,Q95323,7.387216143280264
513250,P14867,7.910094888560602
50125800,O15530,3.920818753952375
189742,P10415,11.0
304490,P55055,7.638272163982407
50134514,P43115,7.050609993355087
10867,P43166,6.6777807052660805
411720,Q13535,6.296708621881338
50168110,P29274,6.619788758288394
50407344,Q00788,5.899998417198648
50219142,P50129,8.469800301796917
50240510,P35354,5.086186147616283
50044719,Q99720,6.184422251675732
81790,Q4G017,4.999956572723137
50263471,P14416,4.999956572723137
50069913,P14416,6.521433504406157
50045802,Q63931,7.154901959985743
50414438,P14416,6.799998134593398
50308060,Q13464,7.251811972993799
24654,Q16620,4.999956572723137
50519932,O94760,5.045757490560675
133962,Q5TC84,6.892790030352131
50332895,P21554,7.042392712939905
21393,Q95136,4.058985756294431
168694,P39748,8.698970004336019
50414679,Q13639,6.0
50354822,P07900,0.5228787452803374
355035,O00408,7.958607314841775
50152653,P14780,4.619788758288394
50328986,P25103,9.468521082957745
50432444,P49238,6.657577319177793
25919,P57058,4.999956572723137
144897,P10415,7.000756330597119
50160183,P51677,5.346787486224656
26895,P41143,5.085656842880559
50319825,P31645,7.769551078621726
483467,P08588,1.476539689675528
50172275,P50406,7.356547323513812
50303846,P21554,7.508638306165727
133889,P41145,6.756961951313706
50158026,P50406,9.0
60665,O96013,7.017728766960431
432193,P54289,5.560667306169737
50429924,P43166,6.332547047110046
102681,P01375,9.939302159646388
152523,P21836,5.00436480540245
167192,P20292,4.999956572723137
50140745,P35372,5.664542099310616
50242737,Q9UL54,5.920818753952375
199157,P21728,7.518844129171965
50057762,P35462,8.3767507096021
50101021,P00734,2.9999995657057354
50256381,P21554,7.853871964321762
50206236,P31652,8.431798275933005
26300,Q7KZI7,4.999956572723137
50492211,P28335,7.107905397309519
50423341,P28646,7.522878745280337
50346725,Q16790,7.036212172654444
50269210,P03951,7.67778070526608
508535,P29274,8.823908740944319
50306005,P34972,8.522878745280337
50245752,O43570,9.244125144327509
50108577,P00918,8.397940008672037
50420336,Q9Y5Y6,10.05551732784983
50495604,P29274,6.096910013008056
50360594,P48546,5.38933983691012
50289569,P08588,3.9999956570768953
50299280,P41143,6.679853713888946
50474235,P30874,9.300000202445418
50208749,P22748,6.070581074285707
50110989,P25099,7.769551078621726
